feature,r,abs_r,banda
mag_min,-0.36160247429148373,0.36160247429148373,|r| < 0.70
svd_sigma_2,0.3586317680574764,0.3586317680574764,|r| < 0.70
svd_sigma_ratio,-0.29904713164493757,0.29904713164493757,|r| < 0.70
mag_var,0.29732004243649,0.29732004243649,|r| < 0.70
phase_jump_m_max_abs,0.28562035950489073,0.28562035950489073,|r| < 0.70
mag_energy_total,0.28062128718337764,0.28062128718337764,|r| < 0.70
pdp_total_energy,0.2806212871833767,0.2806212871833767,|r| < 0.70
mag_dynamic_range_db,0.28056767774506597,0.28056767774506597,|r| < 0.70
phase_jump_k_max_abs,0.27504509429230967,0.27504509429230967,|r| < 0.70
svd_spectral_flatness,0.2695710561068249,0.2695710561068249,|r| < 0.70
pdp_los_peak_power,0.22719619332465973,0.22719619332465973,|r| < 0.70
dH_dt_max,0.22671476897960136,0.22671476897960136,|r| < 0.70
mag_dynamic_range_linear,0.22231862596347554,0.22231862596347554,|r| < 0.70
mag_max,0.19946377665358653,0.19946377665358653,|r| < 0.70
dH_dt_mean,0.18280025730801305,0.18280025730801305,|r| < 0.70
doppler_variance_energy,0.18255750098629128,0.18255750098629128,|r| < 0.70
mag_percentile_99,0.17899149663638614,0.17899149663638614,|r| < 0.70
mag_percentile_95,0.16816086289585935,0.16816086289585935,|r| < 0.70
mag_entropy,0.16365424627264896,0.16365424627264896,|r| < 0.70
mag_entropy_normalized,0.16365424627253142,0.16365424627253142,|r| < 0.70
mag_percentile_50,0.16127483029169315,0.16127483029169315,|r| < 0.70
mag_percentile_75,0.1556408412895503,0.1556408412895503,|r| < 0.70
mag_rms,0.15489988864876733,0.15489988864876733,|r| < 0.70
mag_mean,0.15279960671570658,0.15279960671570658,|r| < 0.70
mag_percentile_25,0.15233448509694805,0.15233448509694805,|r| < 0.70
svd_sigma_1,0.1478713103180486,0.1478713103180486,|r| < 0.70
phase_circular_mean,0.14743291552016907,0.14743291552016907,|r| < 0.70
pdp_rms_delay_spread,0.13507071592290656,0.13507071592290656,|r| < 0.70
pdp_los_ratio,-0.11400091760963194,0.11400091760963194,|r| < 0.70
pdp_papr_linear,-0.11400091729757612,0.11400091729757612,|r| < 0.70
mag_skewness,0.09377880673098019,0.09377880673098019,|r| < 0.70
phase_jump_m_rms_abs,0.08573722151566161,0.08573722151566161,|r| < 0.70
phase_unwrap_m_slope_rms,0.08573722151566161,0.08573722151566161,|r| < 0.70
doppler_centroid,0.06461921197440948,0.06461921197440948,|r| < 0.70
phase_jump_m_mean_abs,0.06418186487457159,0.06418186487457159,|r| < 0.70
mag_percentile_1,0.06237618494318333,0.06237618494318333,|r| < 0.70
doppler_spread,0.059657241874886996,0.059657241874886996,|r| < 0.70
mag_percentile_5,0.0559629804138433,0.0559629804138433,|r| < 0.70
phase_jump_k_var_abs,0.05506342485609604,0.05506342485609604,|r| < 0.70
phase_jump_m_var_abs,0.05201824981417579,0.05201824981417579,|r| < 0.70
phase_unwrap_k_slope_rms,0.04720641957305147,0.04720641957305147,|r| < 0.70
phase_jump_k_rms_abs,0.04720641957305147,0.04720641957305147,|r| < 0.70
pdp_mean_delay,0.039255586711118964,0.039255586711118964,|r| < 0.70
svd_energy_ratio_mode1,-0.03919599055323772,0.03919599055323772,|r| < 0.70
phase_unwrap_k_slope_var,0.03728723612439104,0.03728723612439104,|r| < 0.70
phase_unwrap_m_slope_var,0.03685624163388266,0.03685624163388266,|r| < 0.70
phase_coherence,-0.03551422481772392,0.03551422481772392,|r| < 0.70
phase_circular_variance,0.035514224816337085,0.035514224816337085,|r| < 0.70
phase_jump_k_mean_abs,0.03420520503273402,0.03420520503273402,|r| < 0.70
phase_unwrap_k_var,-0.03417047867830381,0.03417047867830381,|r| < 0.70
phase_unwrap_k_mean,0.030682336176320484,0.030682336176320484,|r| < 0.70
phase_unwrap_m_var,0.02978518246483557,0.02978518246483557,|r| < 0.70
phase_unwrap_k_slope_mean,0.029545355219716043,0.029545355219716043,|r| < 0.70
phase_unwrap_m_mean,-0.020218824652219393,0.020218824652219393,|r| < 0.70
pdp_los_peak_idx,0.016166970627797834,0.016166970627797834,|r| < 0.70
mag_kurtosis,-0.00577712584776235,0.00577712584776235,|r| < 0.70
mag_excess_kurtosis,-0.005777125847761995,0.005777125847761995,|r| < 0.70
phase_unwrap_m_slope_mean,-0.00010835869951559174,0.00010835869951559174,|r| < 0.70
