,temperature,mag_mean,mag_var,mag_rms,mag_energy_total,mag_max,mag_min,mag_percentile_1,mag_percentile_5,mag_percentile_25,mag_percentile_50,mag_percentile_75,mag_percentile_95,mag_percentile_99,mag_dynamic_range_linear,mag_dynamic_range_db,mag_entropy,mag_entropy_normalized,mag_kurtosis,mag_excess_kurtosis,mag_skewness,phase_circular_mean,phase_circular_variance,phase_coherence,phase_unwrap_m_mean,phase_unwrap_m_var,phase_unwrap_m_slope_mean,phase_unwrap_m_slope_var,phase_unwrap_m_slope_rms,phase_unwrap_k_mean,phase_unwrap_k_var,phase_unwrap_k_slope_mean,phase_unwrap_k_slope_var,phase_unwrap_k_slope_rms,phase_jump_m_mean_abs,phase_jump_m_var_abs,phase_jump_m_max_abs,phase_jump_m_rms_abs,phase_jump_k_mean_abs,phase_jump_k_var_abs,phase_jump_k_max_abs,phase_jump_k_rms_abs,pdp_los_peak_power,pdp_los_peak_idx,pdp_total_energy,pdp_papr_linear,pdp_mean_delay,pdp_rms_delay_spread,pdp_los_ratio,svd_sigma_1,svd_sigma_2,svd_sigma_ratio,svd_energy_ratio_mode1,svd_spectral_flatness,dH_dt_mean,dH_dt_max,doppler_variance_energy,doppler_centroid,doppler_spread
temperature,1.0,0.15279960671570658,0.29732004243649,0.15489988864876733,0.28062128718337764,0.19946377665358653,-0.36160247429148373,0.06237618494318333,0.0559629804138433,0.15233448509694805,0.16127483029169315,0.1556408412895503,0.16816086289585935,0.17899149663638614,0.22231862596347554,0.28056767774506597,0.16365424627264896,0.16365424627253142,-0.00577712584776235,-0.005777125847761995,0.09377880673098019,0.14743291552016907,0.035514224816337085,-0.03551422481772392,-0.020218824652219393,0.02978518246483557,-0.00010835869951559174,0.03685624163388266,0.08573722151566161,0.030682336176320484,-0.03417047867830381,0.029545355219716043,0.03728723612439104,0.04720641957305147,0.06418186487457159,0.05201824981417579,0.28562035950489073,0.08573722151566161,0.03420520503273402,0.05506342485609604,0.27504509429230967,0.04720641957305147,0.22719619332465973,0.016166970627797834,0.2806212871833767,-0.11400091729757612,0.039255586711118964,0.13507071592290656,-0.11400091760963194,0.1478713103180486,0.3586317680574764,-0.29904713164493757,-0.03919599055323772,0.2695710561068249,0.18280025730801305,0.22671476897960136,0.18255750098629128,0.06461921197440948,0.059657241874886996
mag_mean,0.15279960671570658,1.0,0.8235816187194206,0.9999160007211724,0.9566758605177752,0.9853218826227824,0.017023976126793114,0.9648858786758946,0.9769547051406963,0.9957090384393938,0.9996862339576358,0.9982547905146182,0.9954280628749064,0.9926675116834354,0.9763264550814127,-0.3325526241219552,0.2901364674011624,0.290136467401139,-0.02591545810981318,-0.025915458109813053,-0.6768870088373415,-0.006659002543726774,0.7231689644324524,-0.7231689644327095,-0.01048991230713357,-0.9125083547755646,0.005970478585047456,-0.9078736874061745,-0.864833949664546,-0.9150537331039589,0.9106148323330955,-0.9137070888712288,-0.9077578377495941,-0.900062848294344,-0.8847408478639162,-0.8953401413317426,0.041519850411512266,-0.864833949664546,-0.9100175615045708,-0.8936241734803971,0.043453914920220306,-0.9000628482943437,0.9719398272331425,-0.711679492245128,0.9566758605177661,0.8385469718465638,-0.905907498968134,-0.811666588346796,0.8385469710932625,0.9976434086859713,0.7521622116435628,0.38838055946098005,0.9059332093771895,-0.5966892700931556,0.2593914561983082,0.548076089367187,0.2592352847590641,-0.006523536064569421,-0.0004705098883877378
mag_var,0.29732004243649,0.8235816187194206,1.0,0.8303231511986098,0.9036233502755633,0.8922421969180284,-0.296984679495774,0.7363415238581472,0.6925962281238749,0.7838133381108516,0.8265856637959336,0.847140254067142,0.8694473937961668,0.8825579133843585,0.9052135610788227,0.03464892350168197,0.519472612077581,0.5194726120775524,-0.052421063591219494,-0.05242106359121955,-0.27165477710045793,0.109426595793027,0.4878828397681683,-0.4878828397686274,-0.010070943266005961,-0.5910359939285881,0.007640987328419926,-0.5822707537013165,-0.5137090254598251,-0.5940118037779452,0.5860056244188343,-0.5917344902738021,-0.5816810112569243,-0.5685245848949776,-0.543860894274658,-0.56160231137445,0.3450317625850867,-0.5137090254598251,-0.5858490334600892,-0.5575209544126334,0.3487801003418875,-0.5685245848949775,0.8565976614818879,-0.45956375763447743,0.903623350275559,0.46992853794165096,-0.5784445044451126,-0.4371654079123316,0.4699285367924263,0.8102320970451972,0.8951442581172657,-0.03110347775410023,0.578706485058613,-0.18224648382402714,0.4900520612427251,0.7786431897428315,0.49014301958680684,0.02177350576750441,0.016336539063734203
mag_rms,0.15489988864876733,0.9999160007211724,0.8303231511986098,1.0,0.9581073708973137,0.986795100488056,0.012218911489579315,0.9636041178732542,0.9745954830226793,0.9946096367893443,0.9996821599498794,0.9988398880344233,0.9964954616191274,0.994003722866015,0.9781127471038739,-0.32824734292812796,0.297544705509348,0.29754470550932494,-0.02664757947240144,-0.02664757947240135,-0.6712726757095607,-0.0038892800251581067,0.7214127088108836,-0.7214127088111424,-0.010366549835014798,-0.910191007774542,0.00608286080438305,-0.9054907262299531,-0.8620295519826346,-0.9127375330351964,0.908245905918208,-0.9113739329956616,-0.905365460909232,-0.8975848772546892,-0.8821075680094831,-0.8928236985348805,0.04575050567499123,-0.8620295519826348,-0.9076550909566271,-0.891072377554382,0.047766572331904754,-0.8975848772546887,0.9722332514446157,-0.7097918319878607,0.9581073708973101,0.8352275919939761,-0.9034899485631049,-0.8084620495985124,0.835227591230341,0.9972773952488295,0.756904693683621,0.38355699606395205,0.9035254864765593,-0.592543317643541,0.26547966508529197,0.5550573665383588,0.26533055873332756,-0.0064822927951651895,-0.0005937535789676461
mag_energy_total,0.28062128718337764,0.9566758605177752,0.9036233502755633,0.9581073708973137,1.0,0.979832755608665,-0.20397898727132296,0.8961153945985703,0.8886312966033341,0.9500532744113496,0.9574153163555867,0.9582036911991128,0.9660308072672705,0.9713786730989542,0.985819950093598,-0.08596307720853975,0.32115583704801665,0.3211558370479897,-0.032507999044235576,-0.0325079990442355,-0.5130012117669518,0.042351699854086385,0.6230183525420306,-0.6230183525424717,-0.017133595946571906,-0.7581936623399196,0.004150077593986307,-0.7502296380614812,-0.6843016569855601,-0.7616668040466591,0.7542049016196497,-0.7594987006616042,-0.7498943112494844,-0.7375837166435706,-0.7138670956042209,-0.7308966110937523,0.2815401804296084,-0.68430165698556,-0.7536711937381592,-0.7274184218804353,0.28270433440783954,-0.7375837166435708,0.9879906352942213,-0.5925230962910076,0.9999999999999943,0.6511070996114573,-0.7469863001611396,-0.6087966549519027,0.6511070986247819,0.9519463499181814,0.8647927625329574,0.11193562963288754,0.746972262211719,-0.3405023617399995,0.330698559609215,0.6358336801105167,0.330461494198316,0.03265395160142422,0.031964090503352256
mag_max,0.19946377665358653,0.9853218826227824,0.8922421969180284,0.986795100488056,0.979832755608665,1.0,-0.08418449379771283,0.936115358827645,0.9346889510208457,0.9745928232290356,0.9853279620848855,0.9882999530627291,0.9926338096388259,0.9947952636584543,0.9977290016046736,-0.22075729588770296,0.32388234979769526,0.3238823497976705,-0.01869936776088948,-0.01869936776088934,-0.5838282937092191,0.024948226270984364,0.678513019675224,-0.6785130196755454,-0.01018271747936115,-0.8447745883785566,0.00662654969313153,-0.8386482634738197,-0.7855209488987286,-0.8475659646350493,0.8418732083519229,-0.8458148952626983,-0.8383742002535497,-0.8286719304156392,-0.8096468081532193,-0.8230876854579889,0.14977579803910263,-0.7855209488987286,-0.8412924681772701,-0.8206001479843614,0.15197577761593817,-0.8286719304156391,0.9786536955047616,-0.6581559855775815,0.9798327556086518,0.7550254352160818,-0.8359880289720506,-0.7225433424932064,0.7550254343143881,0.9787659297098975,0.8277968215339777,0.2632482648975711,0.8362471319643319,-0.48403863800455904,0.3400223487151484,0.6494914681810009,0.3398738945245161,0.0048953577176597115,0.008761597440884564
mag_min,-0.36160247429148373,0.017023976126793114,-0.296984679495774,0.012218911489579315,-0.20397898727132296,-0.08418449379771283,1.0,0.20524637804874277,0.16728287344211418,0.01958220831300819,0.00596159384659275,0.008341866758423877,-0.013659411005870481,-0.03217600798311847,-0.1511102733703041,-0.8686997060687223,-0.06127903030373002,-0.06127903030369978,0.016049447255920384,0.016049447255920463,-0.34442629054252744,-0.3068443774881276,0.3191386812603157,-0.3191386812597483,0.009538293158097054,-0.3362711123898104,0.003199477297782372,-0.344627291233121,-0.41015937784638096,-0.3335879404856963,0.34107765136010554,-0.3362132172293414,-0.34516268115900595,-0.3566370708321223,-0.38088030760928127,-0.36155946747691353,-0.9299274356541783,-0.4101593778463809,-0.34173236113244504,-0.3653028682300852,-0.9243412057737106,-0.3566370708321222,-0.11234974336778755,-0.26012068170204283,-0.20397898727132244,0.48643639409738226,-0.3474853404270441,-0.46595411072292037,0.4864363951689544,0.02138983300697994,-0.31251652896678384,0.7336397642927519,0.34744061536911963,-0.647049430820007,-0.16245457103754277,-0.24244035379325732,-0.16239142789209612,-0.1073195777095597,-0.08302210426274638
mag_percentile_1,0.06237618494318333,0.9648858786758946,0.7363415238581472,0.9636041178732542,0.8961153945985703,0.936115358827645,0.20524637804874277,1.0,0.9755376040328054,0.9614660234151989,0.9608851461701133,0.960738979297971,0.9555754065846958,0.9507888152754613,0.9147886059952814,-0.46009634373813885,0.25589816564768314,0.2558981656476772,-0.02208084647547047,-0.022080846475470362,-0.6903083752916434,-0.06129157480842626,0.7716478824212599,-0.7716478824213207,-0.013748751407675428,-0.9203091920911194,0.004143478028393842,-0.9169429021478382,-0.8847912288580456,-0.9224830060883237,0.9192492998712815,-0.9214340167983164,-0.9169817862144178,-0.9112886552689874,-0.89901871884081,-0.9076721553984869,-0.10204419815761735,-0.884791228858046,-0.9188360183617199,-0.9061105818502987,-0.09755672714369726,-0.911288655268987,0.9414494624818774,-0.7178858799263472,0.8961153945985658,0.889728048212367,-0.9151958071123393,-0.8381872826623297,0.8897280477755347,0.964461872222846,0.6775640015660673,0.4545683330086083,0.9151344754906507,-0.6520562396796103,0.20596250888207407,0.48475535390643226,0.20578825263600042,-0.014926185416810516,-0.002913017351574121
mag_percentile_5,0.0559629804138433,0.9769547051406963,0.6925962281238749,0.9745954830226793,0.8886312966033341,0.9346889510208457,0.16728287344211418,0.9755376040328054,1.0,0.9840499925538305,0.9739012140343991,0.9668986331216266,0.9564216371731964,0.9485677951434716,0.9159397363003792,-0.4596186634746856,0.1852567894130646,0.18525678941304993,-0.014279362319487999,-0.014279362319487742,-0.7643011356967175,-0.06236379784545409,0.7542157688835305,-0.7542157688836159,-0.008626294861182698,-0.9529810339258541,0.005938393067077111,-0.9504151952511063,-0.9220190636629193,-0.9551062090303283,0.9524478134745862,-0.9541866897446416,-0.9504682240542066,-0.9457029141011859,-0.9356459502152757,-0.942315547999752,-0.09664551501335818,-0.9220190636629193,-0.9517716224641849,-0.9416623745969626,-0.0943623739926151,-0.9457029141011857,0.9271292236523797,-0.7432664255501473,0.8886312966033233,0.9097089787503706,-0.9492790694612387,-0.8830035207018947,0.9097089782377727,0.9768339386364477,0.6422213753638161,0.5159498303136085,0.9492485080075839,-0.7062182067227917,0.18032243309882487,0.4434488511709345,0.18002548646441022,-0.015678262597203195,-0.005458113114226502
mag_percentile_25,0.15233448509694805,0.9957090384393938,0.7838133381108516,0.9946096367893443,0.9500532744113496,0.9745928232290356,0.01958220831300819,0.9614660234151989,0.9840499925538305,1.0,0.995096992607996,0.988577233400777,0.9833945782409005,0.9797407778453716,0.9655098891612048,-0.3314864886454102,0.21971136115448325,0.2197113611544576,-0.019047909834554008,-0.01904790983455384,-0.7108570210494879,-0.022078368265712325,0.7190129889082363,-0.7190129889085007,-0.011423456403130186,-0.9115206853256872,0.005586910228467913,-0.9070072852397105,-0.864625524724046,-0.9141212917382536,0.9097541288371868,-0.9127895184192018,-0.9069152034294912,-0.8993621356480628,-0.8843993431929017,-0.8946792887185949,0.043112904408804935,-0.8646255247240459,-0.9090891411216614,-0.8931076513861596,0.04397293878523159,-0.8993621356480629,0.9679368956802233,-0.7112223507309715,0.9500532744113516,0.8398230438495685,-0.9051465516363982,-0.8124001964069271,0.8398230431238317,0.9937124658030169,0.7364393420978933,0.39610095662506695,0.905139064597988,-0.5993968277219031,0.24017172829780092,0.5213608800910375,0.2400049029169471,-0.004073424409487616,0.0017459187155778424
