variable,n_valid,n_nan,mean,std,min,max
temperature,32238,0,43.80495067932254,15.033704448270957,15.0,68.0
mag_mean,32238,0,1.7668919628047475,0.8588054192986689,0.0116123289228608,2.7938109875867467
mag_var,32238,0,0.14563976473226792,0.1069112091226634,3.8282807342685405e-05,2.163824922414438
mag_rms,32238,0,1.799608188769022,0.8755027049373558,0.0131578490018466,2.865900107296182
mag_energy_total,32238,0,410119.2543225469,241412.5263508552,17.728408612392506,841050.4627200275
mag_max,32238,0,2.663237298411714,1.3515876138176415,0.0557373522143808,7.986766661088039
mag_min,32238,0,0.06828143872580687,0.09209515862385292,8.102952042187552e-07,0.3520914950037028
mag_percentile_1,32238,0,0.4162507333655745,0.20224779656495584,0.001246983193105,0.6379471202498039
mag_percentile_5,32238,0,1.17503655502342,0.552148140076217,0.0028541028592811,1.6781534820670332
mag_percentile_25,32238,0,1.624634446567708,0.7944042252211991,0.0069567198086752,2.5119956257356657
mag_percentile_50,32238,0,1.834982424479281,0.8942883039669268,0.0108290556218777,2.9149746199983944
mag_percentile_75,32238,0,1.9917231789478271,0.9715469056494751,0.0153896906201767,3.2270856040662323
mag_percentile_95,32238,0,2.14664368928587,1.060987207546181,0.0228762499633509,4.613879708629672
mag_percentile_99,32238,0,2.2438426435652605,1.12113783028025,0.028669505923917,5.591952798874922
mag_dynamic_range_linear,32238,0,2.5949558596859075,1.362434685111243,0.0557143431874489,7.986722616904265
mag_dynamic_range_db,32238,0,43.63369399747696,16.63910766434649,15.354866350341013,105.16964840964576
mag_entropy,32238,0,4.674745652326792,0.31032119434319183,1.0424441459405684,5.376295380442979
mag_entropy_normalized,32238,0,0.7791242753877987,0.051720199057198636,0.1737406909900947,0.8960492300738299
mag_kurtosis,32238,0,8.77382250815768,34.31709888084365,2.412181769700372,2522.0354154134347
mag_excess_kurtosis,32238,0,5.77382250815768,34.31709888084365,-0.5878182302996282,2519.0354154134347
mag_skewness,32238,0,-1.4237957997910455,1.3571920447860262,-3.9996974539267898,35.11937197062075
phase_circular_mean,32238,0,-0.3527438443725984,1.845710591906391,-3.141354285918961,3.141309338295116
phase_circular_variance,32238,0,0.9990036028692925,0.0010488983822194513,0.9905100148805196,0.9999964211986268
phase_coherence,32238,0,0.000996397130707508,0.0010488983822194511,3.578801373199909e-06,0.0094899851194804
phase_unwrap_m_mean,32238,0,0.0006711157159269462,0.13664492609768197,-1.3164163226091208,1.1379599069905495
phase_unwrap_m_var,32238,0,31.088922505819323,60.99757723306928,3.28711327796506,187.67081988532328
phase_unwrap_m_slope_mean,32238,0,-1.702310476204066e-05,0.0023529956683673104,-0.0204972982331818,0.0214252102417661
phase_unwrap_m_slope_var,32238,0,0.5785493874596684,1.2260672975561957,0.0017624143417546,3.576940244831935
phase_unwrap_m_slope_rms,32238,0,0.41947093348279635,0.634516783746027,0.0419811717239452,1.891280133643157
phase_unwrap_k_mean,32238,0,-267.84687250990044,121.0835701441634,-325.8534927378236,150.32847191375143
phase_unwrap_k_var,32238,0,29091.310980391947,12390.70046331579,1100.4753895050835,34848.18900677565
phase_unwrap_k_slope_mean,32238,0,-0.5241516118299832,0.23695766273118823,-0.6321544391437546,0.2983666561995349
phase_unwrap_k_slope_var,32238,0,0.5793142464584967,1.2255074103505044,0.0019235130903751,3.52397737069637
phase_unwrap_k_slope_rms,32238,0,0.8481351805630336,0.43688555364275605,0.5909242290935585,1.8772268670661227
phase_jump_m_mean_abs,32238,0,0.3362245008306752,0.5595370571351072,0.0326733545878931,1.581429561222626
phase_jump_m_var_abs,32238,0,0.1524360024739426,0.3036352217590648,0.0006948706792891,1.1833995722782191
phase_jump_m_max_abs,32238,0,2.3663466230912515,1.1103296041591748,0.352724595446925,3.14159264714054
phase_jump_m_rms_abs,32238,0,0.41947093348279635,0.634516783746027,0.0419811717239452,1.8912801336431573
phase_jump_k_mean_abs,32238,0,0.7950048848386263,0.35076468362486024,0.5890467791220617,1.580597982315444
phase_jump_k_var_abs,32238,0,0.1551315371590955,0.30211892129933215,0.0019235130903751,1.0477307825826443
phase_jump_k_max_abs,32238,0,2.515539701142946,0.9023612093706952,0.8591960011178772,3.1415926510560754
