sample_uid,temperature,temperature_folder,sample_id,tx_path,rx_path,tx_path_rel_to_bbdd_parent,rx_path_rel_to_bbdd_parent,error
15__001386,15.0,15,001386,/home/hugo/Escritorio/ISAC/BBDD/15/iq_tx_001386.bin,/home/hugo/Escritorio/ISAC/BBDD/15/iq_rx_001386.bin,BBDD/15/iq_tx_001386.bin,BBDD/15/iq_rx_001386.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
18__001733,18.0,18,001733,/home/hugo/Escritorio/ISAC/BBDD/18/iq_tx_001733.bin,/home/hugo/Escritorio/ISAC/BBDD/18/iq_rx_001733.bin,BBDD/18/iq_tx_001733.bin,BBDD/18/iq_rx_001733.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
30__001847,30.0,30,001847,/home/hugo/Escritorio/ISAC/BBDD/30/iq_tx_001847.bin,/home/hugo/Escritorio/ISAC/BBDD/30/iq_rx_001847.bin,BBDD/30/iq_tx_001847.bin,BBDD/30/iq_rx_001847.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
34__001266,34.0,34,001266,/home/hugo/Escritorio/ISAC/BBDD/34/iq_tx_001266.bin,/home/hugo/Escritorio/ISAC/BBDD/34/iq_rx_001266.bin,BBDD/34/iq_tx_001266.bin,BBDD/34/iq_rx_001266.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
36__001277,36.0,36,001277,/home/hugo/Escritorio/ISAC/BBDD/36/iq_tx_001277.bin,/home/hugo/Escritorio/ISAC/BBDD/36/iq_rx_001277.bin,BBDD/36/iq_tx_001277.bin,BBDD/36/iq_rx_001277.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
40__000775,40.0,40,000775,/home/hugo/Escritorio/ISAC/BBDD/40/iq_tx_000775.bin,/home/hugo/Escritorio/ISAC/BBDD/40/iq_rx_000775.bin,BBDD/40/iq_tx_000775.bin,BBDD/40/iq_rx_000775.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
46__001394,46.0,46,001394,/home/hugo/Escritorio/ISAC/BBDD/46/iq_tx_001394.bin,/home/hugo/Escritorio/ISAC/BBDD/46/iq_rx_001394.bin,BBDD/46/iq_tx_001394.bin,BBDD/46/iq_rx_001394.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
48__001461,48.0,48,001461,/home/hugo/Escritorio/ISAC/BBDD/48/iq_tx_001461.bin,/home/hugo/Escritorio/ISAC/BBDD/48/iq_rx_001461.bin,BBDD/48/iq_tx_001461.bin,BBDD/48/iq_rx_001461.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
50__002629,50.0,50,002629,/home/hugo/Escritorio/ISAC/BBDD/50/iq_tx_002629.bin,/home/hugo/Escritorio/ISAC/BBDD/50/iq_rx_002629.bin,BBDD/50/iq_tx_002629.bin,BBDD/50/iq_rx_002629.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
52__001279,52.0,52,001279,/home/hugo/Escritorio/ISAC/BBDD/52/iq_tx_001279.bin,/home/hugo/Escritorio/ISAC/BBDD/52/iq_rx_001279.bin,BBDD/52/iq_tx_001279.bin,BBDD/52/iq_rx_001279.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
56__001568,56.0,56,001568,/home/hugo/Escritorio/ISAC/BBDD/56/iq_tx_001568.bin,/home/hugo/Escritorio/ISAC/BBDD/56/iq_rx_001568.bin,BBDD/56/iq_tx_001568.bin,BBDD/56/iq_rx_001568.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
59__001704,59.0,59,001704,/home/hugo/Escritorio/ISAC/BBDD/59/iq_tx_001704.bin,/home/hugo/Escritorio/ISAC/BBDD/59/iq_rx_001704.bin,BBDD/59/iq_tx_001704.bin,BBDD/59/iq_rx_001704.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
61__001921,61.0,61,001921,/home/hugo/Escritorio/ISAC/BBDD/61/iq_tx_001921.bin,/home/hugo/Escritorio/ISAC/BBDD/61/iq_rx_001921.bin,BBDD/61/iq_tx_001921.bin,BBDD/61/iq_rx_001921.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
68__001522,68.0,68,001522,/home/hugo/Escritorio/ISAC/BBDD/68/iq_tx_001522.bin,/home/hugo/Escritorio/ISAC/BBDD/68/iq_rx_001522.bin,BBDD/68/iq_tx_001522.bin,BBDD/68/iq_rx_001522.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
