split,temperature_folder,temperature,n_samples
test,15,15.0,208
test,18,18.0,260
test,24,24.0,450
test,30,30.0,277
test,34,34.0,190
test,36,36.0,192
test,38,38.0,214
test,40,40.0,117
test,42,42.0,158
test,44,44.0,213
test,46,46.0,209
test,48,48.0,219
test,50,50.0,394
test,52,52.0,192
test,54,54.0,244
test,56,56.0,235
test,59,59.0,255
test,61,61.0,288
test,63,63.0,292
test,68,68.0,229
train,15,15.0,970
train,18,18.0,1213
train,24,24.0,2100
train,30,30.0,1293
train,34,34.0,886
train,36,36.0,894
train,38,38.0,999
train,40,40.0,542
train,42,42.0,736
train,44,44.0,995
train,46,46.0,976
train,48,48.0,1023
train,50,50.0,1840
train,52,52.0,895
train,54,54.0,1142
train,56,56.0,1098
train,59,59.0,1193
train,61,61.0,1345
train,63,63.0,1361
train,68,68.0,1065
val,15,15.0,208
val,18,18.0,260
val,24,24.0,450
val,30,30.0,277
val,34,34.0,190
val,36,36.0,191
val,38,38.0,214
val,40,40.0,116
val,42,42.0,158
val,44,44.0,213
val,46,46.0,209
val,48,48.0,219
val,50,50.0,395
val,52,52.0,192
val,54,54.0,245
val,56,56.0,235
val,59,59.0,256
val,61,61.0,288
val,63,63.0,292
val,68,68.0,228
