poly_feature,x_poly_scaled,coef_standardized_poly,contribution,abs_contribution
mag_skewness phase_jump_k_max_abs,-1.833493049908938,5.165847434336599,-9.471545367746073,9.471545367746073
mag_skewness phase_jump_m_max_abs,-1.8284947363422979,4.9224467847457225,-9.000668035832621,9.000668035832621
phase_jump_k_max_abs pdp_los_peak_power,3.499654663220798,-2.1111865044275993,-7.388423695148863,7.388423695148863
mag_max mag_entropy,-5.2605241029942444,-1.3214905303782885,6.9517327869336345,6.9517327869336345
mag_max mag_entropy_normalized,-5.260524102994256,-1.3214905303777966,6.951732786931062,6.951732786931062
mag_dynamic_range_linear mag_entropy,-5.278104115964637,-1.1546875258718385,6.094560982957174,6.094560982957174
mag_dynamic_range_linear mag_entropy_normalized,-5.278104115964646,-1.154687525871705,6.09456098295648,6.09456098295648
mag_percentile_1 mag_entropy,-4.228004569293818,1.3378128458454053,-5.656278825094339,5.656278825094339
mag_percentile_1 mag_entropy_normalized,-4.228004569293828,1.337812845844595,-5.6562788250909275,5.6562788250909275
phase_jump_m_max_abs pdp_los_peak_power,3.489741432505722,-1.592912950604779,-5.558854322100438,5.558854322100438
mag_percentile_5 mag_entropy_normalized,-5.036938075684869,1.0641875088424868,-5.36024658295695,5.36024658295695
mag_percentile_5 mag_entropy,-5.0369380756848585,1.0641875088419939,-5.360246582954456,5.360246582954456
mag_percentile_50 phase_jump_k_max_abs,3.5090328787614053,-1.3667134850666662,-4.795842554945517,4.795842554945517
mag_percentile_25 phase_jump_k_max_abs,3.7924379733362743,-1.2587031568081086,-4.773553649037314,4.773553649037314
mag_var mag_entropy_normalized,-3.858450412593467,-1.1775590957655793,4.543553378909889,4.543553378909889
mag_var mag_entropy,-3.858450412593465,-1.1775590957654358,4.543553378909333,4.543553378909333
mag_percentile_1 doppler_spread,3.149191539169562,1.3281936147753797,4.1827360940296625,4.1827360940296625
mag_percentile_50 phase_jump_m_max_abs,3.4818951111413745,-1.135115204279625,-3.952352080363469,3.952352080363469
mag_percentile_25 mag_entropy,-5.051697165308439,0.7412627065235461,-3.744634713293859,3.744634713293859
mag_percentile_25 mag_entropy_normalized,-5.05169716530845,0.7412627065232199,-3.74463471329222,3.74463471329222
mag_dynamic_range_db phase_jump_m_max_abs,2.050275861547622,1.7239965729208933,3.5346685588505324,3.5346685588505324
mag_entropy_normalized pdp_los_peak_power,-5.632810723192708,0.6106584833070648,-3.43972365298063,3.43972365298063
mag_entropy pdp_los_peak_power,-5.632810723192697,0.6106584833060513,-3.4397236529749144,3.4397236529749144
mag_percentile_25 phase_jump_m_max_abs,3.7637885025349167,-0.9066684418358756,-3.4125082569931164,3.4125082569931164
mag_mean phase_jump_k_max_abs,3.5626295093033997,-0.8679855091254521,-3.092310788458071,3.092310788458071
mag_rms phase_jump_k_max_abs,3.5213045962191467,-0.8559458684657332,-3.0140461207431755,3.0140461207431755
mag_entropy^2,2.166168476763317,-1.3904546939719815,-3.0119591264496917,3.0119591264496917
mag_entropy_normalized^2,2.166168476763326,-1.3904546939718938,-3.011959126449514,3.011959126449514
mag_entropy mag_entropy_normalized,2.1661684767633216,-1.3904546939715259,-3.0119591264487107,3.0119591264487107
mag_skewness,0.7299744129901344,-4.072400675723696,-2.9727482927220317,2.9727482927220317
mag_dynamic_range_db phase_jump_k_max_abs,2.0461459018805384,1.3989923419391352,2.8625424472210184,2.8625424472210184
phase_jump_k_max_abs svd_sigma_1,3.5105530627261055,-0.8080376564755131,-2.836659069738137,2.836659069738137
mag_percentile_5 doppler_spread,4.42946959125661,0.626824509236426,2.776500102717097,2.776500102717097
mag_entropy svd_sigma_2,-3.3297396978016174,-0.8145657747945756,2.7122919968040304,2.7122919968040304
mag_entropy_normalized svd_sigma_2,-3.3297396978016165,-0.814565774794424,2.712291996803525,2.712291996803525
