sample_uid,split,temperature,temperature_folder,sample_id,tx_path,rx_path,tx_path_rel_to_bbdd_parent,rx_path_rel_to_bbdd_parent,model,y_true,y_pred,error,abs_error
15__000000,train,15.0,15,0,/home/hugo/Escritorio/ISAC/BBDD/15/iq_tx_000000.bin,/home/hugo/Escritorio/ISAC/BBDD/15/iq_rx_000000.bin,BBDD/15/iq_tx_000000.bin,BBDD/15/iq_rx_000000.bin,OLS_torch,15.0,23.651038131147004,8.651038131147004,8.651038131147004
15__000002,train,15.0,15,2,/home/hugo/Escritorio/ISAC/BBDD/15/iq_tx_000002.bin,/home/hugo/Escritorio/ISAC/BBDD/15/iq_rx_000002.bin,BBDD/15/iq_tx_000002.bin,BBDD/15/iq_rx_000002.bin,OLS_torch,15.0,27.684612720908603,12.684612720908603,12.684612720908603
15__000003,train,15.0,15,3,/home/hugo/Escritorio/ISAC/BBDD/15/iq_tx_000003.bin,/home/hugo/Escritorio/ISAC/BBDD/15/iq_rx_000003.bin,BBDD/15/iq_tx_000003.bin,BBDD/15/iq_rx_000003.bin,OLS_torch,15.0,30.606932467979746,15.606932467979746,15.606932467979746
15__000005,train,15.0,15,5,/home/hugo/Escritorio/ISAC/BBDD/15/iq_tx_000005.bin,/home/hugo/Escritorio/ISAC/BBDD/15/iq_rx_000005.bin,BBDD/15/iq_tx_000005.bin,BBDD/15/iq_rx_000005.bin,OLS_torch,15.0,34.3829746811381,19.3829746811381,19.3829746811381
15__000006,train,15.0,15,6,/home/hugo/Escritorio/ISAC/BBDD/15/iq_tx_000006.bin,/home/hugo/Escritorio/ISAC/BBDD/15/iq_rx_000006.bin,BBDD/15/iq_tx_000006.bin,BBDD/15/iq_rx_000006.bin,OLS_torch,15.0,26.582678347081398,11.582678347081398,11.582678347081398
15__000007,train,15.0,15,7,/home/hugo/Escritorio/ISAC/BBDD/15/iq_tx_000007.bin,/home/hugo/Escritorio/ISAC/BBDD/15/iq_rx_000007.bin,BBDD/15/iq_tx_000007.bin,BBDD/15/iq_rx_000007.bin,OLS_torch,15.0,28.309081271377824,13.309081271377824,13.309081271377824
15__000009,train,15.0,15,9,/home/hugo/Escritorio/ISAC/BBDD/15/iq_tx_000009.bin,/home/hugo/Escritorio/ISAC/BBDD/15/iq_rx_000009.bin,BBDD/15/iq_tx_000009.bin,BBDD/15/iq_rx_000009.bin,OLS_torch,15.0,12.241582240832336,-2.7584177591676635,2.7584177591676635
15__000010,train,15.0,15,10,/home/hugo/Escritorio/ISAC/BBDD/15/iq_tx_000010.bin,/home/hugo/Escritorio/ISAC/BBDD/15/iq_rx_000010.bin,BBDD/15/iq_tx_000010.bin,BBDD/15/iq_rx_000010.bin,OLS_torch,15.0,30.445744464171007,15.445744464171007,15.445744464171007
15__000011,train,15.0,15,11,/home/hugo/Escritorio/ISAC/BBDD/15/iq_tx_000011.bin,/home/hugo/Escritorio/ISAC/BBDD/15/iq_rx_000011.bin,BBDD/15/iq_tx_000011.bin,BBDD/15/iq_rx_000011.bin,OLS_torch,15.0,28.727842669202353,13.727842669202353,13.727842669202353
15__000012,train,15.0,15,12,/home/hugo/Escritorio/ISAC/BBDD/15/iq_tx_000012.bin,/home/hugo/Escritorio/ISAC/BBDD/15/iq_rx_000012.bin,BBDD/15/iq_tx_000012.bin,BBDD/15/iq_rx_000012.bin,OLS_torch,15.0,25.864217974957555,10.864217974957555,10.864217974957555
