feature,coef_standardized,coef_original_units,abs_coef_standardized
phase_circular_variance,18038156461.97862,17273566591926.172,18038156461.97862
phase_coherence,18038156461.44247,17273566591412.752,18038156461.44247
pdp_papr_linear,-1557707533.0078094,-5569042.3661512025,1557707533.0078094
pdp_los_ratio,1557707463.9709828,5702699141.19817,1557707463.9709828
num_valid,-12584362.087479977,-12584362.087479977,12584362.087479977
M_symbols,-11722071.79659403,-11722071.79659403,11722071.79659403
mag_energy_total,-11404639.99625863,-53.49615914626818,11404639.99625863
pdp_total_energy,11404418.235635184,5477900.177987124,11404418.235635184
valid_ratio,11304897.24251285,11304897.24251285,11304897.24251285
mag_entropy,6919100.138658537,19823995.535793524,6919100.138658537
mag_entropy_normalized,-6919096.90212189,-118943917.57652488,6919096.90212189
mag_dynamic_range_linear,-6870187.500000777,-1333767.3067798237,6870187.500000777
mag_max,6834220.009804261,1333768.2686287381,6834220.009804261
mag_kurtosis,3599948.849139053,298375.60463358863,3599948.849139053
mag_excess_kurtosis,-3599947.0914412616,-298375.4589498128,3599947.0914412616
phase_jump_k_ratio,-1732260.160864915,-1732260.160864915,1732260.160864915
phase_unwrap_k_slope_rms,1318592.4319469032,3028199.6970354137,1318592.4319469032
phase_jump_k_rms_abs,-1317878.6290580137,-3026560.420455704,1317878.6290580137
phase_jump_k_count,893807.7270994075,893807.7270994075,893807.7270994075
phase_unwrap_m_slope_rms,887816.1842605644,1403700.7795143626,887816.1842605644
phase_jump_m_rms_abs,-887134.5080543391,-1402623.0007590093,887134.5080543391
phase_jump_m_ratio,-371292.29885864514,-371292.29885864514,371292.29885864514
phase_jump_m_count,-225716.4518249666,-225716.4518249666,225716.4518249666
mag_min,-121914.72972930723,-1333796.2230635134,121914.72972930723
mag_mean,2668.4217700610443,4362.050767393203,2668.4217700610443
mag_rms,-792.7120244435525,-1225.7168025129718,792.7120244435525
phase_jump_m_mean_abs,-666.4761700439267,-1195.039605708886,666.4761700439267
phase_jump_k_mean_abs,-577.4803494000807,-1651.9110066684661,577.4803494000807
mag_percentile_25,-451.89944860432297,-789.9220736809441,451.89944860432297
mag_percentile_75,-422.1307582750451,-573.8303782322018,422.1307582750451
mag_percentile_95,-412.29638634949515,-402.91243976597036,412.29638634949515
mag_percentile_50,-388.0898858262226,-617.67319167693,388.0898858262226
phase_jump_m_var_abs,-334.46511430246755,-1105.1246992489168,334.46511430246755
doppler_variance_energy,233.19532322511077,0.01061551385599684,233.19532322511077
svd_energy_ratio_mode1,-207.09370882855728,-574.6514410561889,207.09370882855728
dH_dt_mean,-156.81590099819005,-35.33685828765991,156.81590099819005
phase_jump_k_var_abs,-154.53630167082883,-513.1483802128548,154.53630167082883
phase_unwrap_k_mean,142.77310902858153,1.182846101755022,142.77310902858153
mag_var,139.74134091585128,298.22918445027756,139.74134091585128
phase_unwrap_k_slope_mean,-135.7317914199084,-574.6677745379251,135.7317914199084
mag_percentile_99,-128.68226130120456,-98.43562176331878,128.68226130120456
pdp_rms_delay_spread,-127.470652520773,-1.3328564467103567,127.470652520773
mag_percentile_5,-118.02987497020513,-272.9594657581784,118.02987497020513
phase_unwrap_m_slope_var,116.80589660722762,95.58819731904609,116.80589660722762
pdp_los_peak_power,113.96892421785742,73.48285438916068,113.96892421785742
svd_spectral_flatness,102.01601036079228,450.1624591964374,102.01601036079228
pdp_mean_delay,95.68877316033468,0.6330261022016455,95.68877316033468
svd_sigma_1,-53.29297989606857,-0.21468563396996942,53.29297989606857
svd_sigma_ratio,48.75083606271073,1.071316093875296,48.75083606271073
phase_jump_m_max_abs,-14.51372170355171,-13.061278737812925,14.51372170355171
mag_percentile_1,-13.343486052006483,-86.4744045076856,13.343486052006483
mag_skewness,9.662258710246533,7.193134275366364,9.662258710246533
phase_jump_k_max_abs,-8.165770932566375,-9.04247020143402,8.165770932566375
doppler_centroid,-5.779350696597248,-2642.1325101090606,5.779350696597248
svd_sigma_2,-5.09199693473056,-0.15917928059846911,5.09199693473056
doppler_spread,4.9900359702296555,3019.6880861399713,4.9900359702296555
dH_dt_max,-2.116435411386192,-0.004689274362433241,2.116435411386192
mag_dynamic_range_db,-1.6372692852746695,-0.09657329448674509,1.6372692852746695
phase_unwrap_k_slope_var,0.9477307070046663,0.7759139459486216,0.9477307070046663
phase_unwrap_m_var,0.7160242749378085,0.011759496542980703,0.7160242749378085
phase_unwrap_k_var,0.5131422826088965,4.155067341600147e-05,0.5131422826088965
phase_unwrap_m_slope_mean,0.26056490861810744,111.94629753450032,0.26056490861810744
phase_unwrap_m_mean,-0.13500882626976818,-0.9842489388523525,0.13500882626976818
N_subcarriers,0.11131114417849775,0.11131114417849775,0.11131114417849775
pdp_los_peak_idx,-0.10017373552545905,-0.0005124781988492863,0.10017373552545905
phase_circular_mean,0.07211855961941183,0.039216947915493565,0.07211855961941183
