split,y_true,y_pred
train,38.0,36.26246015881343
train,46.0,46.04624200379442
train,50.0,44.58776701057654
train,68.0,59.508779197744325
train,40.0,41.01181376588624
train,38.0,34.65923588164917
train,24.0,21.634642082361736
train,30.0,41.189457508605145
train,42.0,43.96428588317537
train,42.0,39.851858061839124
train,63.0,48.1388703314317
train,50.0,46.39914141443678
train,40.0,43.14572840319198
train,34.0,30.249265242738552
train,30.0,38.29513170965603
train,50.0,54.73779075549646
train,24.0,24.201680760098114
train,48.0,53.06304960282431
train,34.0,38.74399478491221
train,68.0,57.15837609429151
train,48.0,49.39884273038446
train,56.0,54.81633222058422
train,54.0,62.056458267668454
train,52.0,52.53567030173609
train,38.0,37.85514268371025
train,61.0,56.49715844549395
train,59.0,61.32772112082668
train,18.0,23.88393637593429
train,61.0,57.3671719104826
train,18.0,24.53676811582239
train,40.0,41.62020453549866
train,15.0,28.23766281139225
train,38.0,37.412446983329076
train,52.0,50.727885036276625
train,15.0,23.79884787356584
train,68.0,49.361961162819796
train,56.0,55.79141367203478
train,30.0,47.80740183339403
train,36.0,30.169109690618942
train,42.0,41.35527965112075
train,48.0,51.85012752728759
train,50.0,44.79863313225339
train,38.0,35.09925213227568
train,15.0,28.121871396016914
train,40.0,43.383677050670364
train,61.0,60.03636171124056
train,34.0,34.72920686366503
train,24.0,24.32170656909888
train,46.0,45.27236413151882
train,34.0,34.18146468618442
train,24.0,24.599416375889763
train,46.0,52.33051157064521
train,54.0,51.47658020564681
train,46.0,49.84096995629476
train,24.0,20.897009442052568
train,15.0,24.53535745482562
train,34.0,31.121119115099834
train,18.0,21.64634264431038
train,30.0,37.23966888974544
train,50.0,54.618812223037025
train,24.0,41.733207895043975
train,42.0,44.47614494167072
train,18.0,18.44113554057443
train,59.0,51.312775558474485
train,54.0,63.311787425076616
train,36.0,34.59560169367838
train,63.0,53.59450553276888
train,24.0,19.536721967099652
train,46.0,42.916621003434955
train,15.0,21.066496418770157
train,54.0,61.27959127535142
train,68.0,57.49906726137179
train,48.0,53.20781342401244
train,36.0,30.777713549131164
train,44.0,41.10362863998421
train,68.0,60.33261403625289
train,61.0,56.77196267311264
train,56.0,56.46151453352259
train,46.0,48.82311575540777
train,30.0,40.345356900326664
train,34.0,45.16575043582795
train,38.0,34.35158953140821
train,56.0,55.97626950874454
train,18.0,23.62748852677082
train,36.0,27.365800597167013
train,59.0,54.374953960787664
train,52.0,55.077119218600544
train,15.0,27.599197577463816
train,40.0,40.228617425794425
