sample_uid,split,temperature,temperature_folder,sample_id,tx_path,rx_path,tx_path_rel_to_bbdd_parent,rx_path_rel_to_bbdd_parent,model,y_true,y_pred,error,abs_error
15__000000,train,15.0,15,0,/home/hugo/Escritorio/ISAC/BBDD/15/iq_tx_000000.bin,/home/hugo/Escritorio/ISAC/BBDD/15/iq_rx_000000.bin,BBDD/15/iq_tx_000000.bin,BBDD/15/iq_rx_000000.bin,RidgePoly2_torch,15.0,34.85182970381856,19.85182970381856,19.85182970381856
15__000002,train,15.0,15,2,/home/hugo/Escritorio/ISAC/BBDD/15/iq_tx_000002.bin,/home/hugo/Escritorio/ISAC/BBDD/15/iq_rx_000002.bin,BBDD/15/iq_tx_000002.bin,BBDD/15/iq_rx_000002.bin,RidgePoly2_torch,15.0,25.83328366906656,10.83328366906656,10.83328366906656
15__000003,train,15.0,15,3,/home/hugo/Escritorio/ISAC/BBDD/15/iq_tx_000003.bin,/home/hugo/Escritorio/ISAC/BBDD/15/iq_rx_000003.bin,BBDD/15/iq_tx_000003.bin,BBDD/15/iq_rx_000003.bin,RidgePoly2_torch,15.0,31.977118558739015,16.977118558739015,16.977118558739015
15__000005,train,15.0,15,5,/home/hugo/Escritorio/ISAC/BBDD/15/iq_tx_000005.bin,/home/hugo/Escritorio/ISAC/BBDD/15/iq_rx_000005.bin,BBDD/15/iq_tx_000005.bin,BBDD/15/iq_rx_000005.bin,RidgePoly2_torch,15.0,33.585450151629395,18.585450151629395,18.585450151629395
15__000006,train,15.0,15,6,/home/hugo/Escritorio/ISAC/BBDD/15/iq_tx_000006.bin,/home/hugo/Escritorio/ISAC/BBDD/15/iq_rx_000006.bin,BBDD/15/iq_tx_000006.bin,BBDD/15/iq_rx_000006.bin,RidgePoly2_torch,15.0,15.164169529012856,0.16416952901285597,0.16416952901285597
15__000007,train,15.0,15,7,/home/hugo/Escritorio/ISAC/BBDD/15/iq_tx_000007.bin,/home/hugo/Escritorio/ISAC/BBDD/15/iq_rx_000007.bin,BBDD/15/iq_tx_000007.bin,BBDD/15/iq_rx_000007.bin,RidgePoly2_torch,15.0,21.90903473593312,6.909034735933119,6.909034735933119
15__000009,train,15.0,15,9,/home/hugo/Escritorio/ISAC/BBDD/15/iq_tx_000009.bin,/home/hugo/Escritorio/ISAC/BBDD/15/iq_rx_000009.bin,BBDD/15/iq_tx_000009.bin,BBDD/15/iq_rx_000009.bin,RidgePoly2_torch,15.0,18.366771092687856,3.3667710926878556,3.3667710926878556
15__000010,train,15.0,15,10,/home/hugo/Escritorio/ISAC/BBDD/15/iq_tx_000010.bin,/home/hugo/Escritorio/ISAC/BBDD/15/iq_rx_000010.bin,BBDD/15/iq_tx_000010.bin,BBDD/15/iq_rx_000010.bin,RidgePoly2_torch,15.0,33.36762618386294,18.36762618386294,18.36762618386294
15__000011,train,15.0,15,11,/home/hugo/Escritorio/ISAC/BBDD/15/iq_tx_000011.bin,/home/hugo/Escritorio/ISAC/BBDD/15/iq_rx_000011.bin,BBDD/15/iq_tx_000011.bin,BBDD/15/iq_rx_000011.bin,RidgePoly2_torch,15.0,28.689752351840163,13.689752351840163,13.689752351840163
15__000012,train,15.0,15,12,/home/hugo/Escritorio/ISAC/BBDD/15/iq_tx_000012.bin,/home/hugo/Escritorio/ISAC/BBDD/15/iq_rx_000012.bin,BBDD/15/iq_tx_000012.bin,BBDD/15/iq_rx_000012.bin,RidgePoly2_torch,15.0,32.89195399639231,17.89195399639231,17.89195399639231
